------------------------ Sentence Scores --------------------------
====================== HTK Results Analysis =======================
  Date: Mon Sep 22 21:08:01 2014
  Ref : >sh/Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalPhones.mlf
  Rec : >Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalMFCPhones.mlf
-------------------------- File Results ---------------------------
4umo_010ut03dB.rec:   43.92( -8.56)  [H= 231, D= 53, S=242, I=276, N=526]
4umo_010ut06dB.rec:   45.44( -6.27)  [H= 239, D= 49, S=238, I=272, N=526]
4umo_050ut-3dB.rec:   39.16(-10.08)  [H= 206, D= 48, S=272, I=259, N=526]
4umo_050ut-6dB.rec:   34.98( -9.13)  [H= 184, D= 48, S=294, I=232, N=526]
4umo_050ut00dB.rec:   39.73(-10.84)  [H= 209, D= 51, S=266, I=266, N=526]
4umo_050ut03dB.rec:   43.35( -9.70)  [H= 228, D= 59, S=239, I=279, N=526]
4umo_050ut06dB.rec:   46.77( -5.51)  [H= 246, D= 63, S=217, I=275, N=526]
4umo_080ut-3dB.rec:   36.31(-11.03)  [H= 191, D= 50, S=285, I=249, N=526]
4umo_080ut-6dB.rec:   35.93(-10.65)  [H= 189, D= 55, S=282, I=245, N=526]
4umo_080ut00dB.rec:   39.92(-10.65)  [H= 210, D= 50, S=266, I=266, N=526]
4umo_080ut03dB.rec:   43.54( -5.70)  [H= 229, D= 49, S=248, I=259, N=526]
4umo_080ut06dB.rec:   47.15( -4.94)  [H= 248, D= 59, S=219, I=274, N=526]
4ums_001ut-3dB.rec:   39.73(-11.22)  [H= 209, D= 34, S=283, I=268, N=526]
4ums_001ut-6dB.rec:   39.16(-17.87)  [H= 206, D= 51, S=269, I=300, N=526]
4ums_001ut00dB.rec:   44.49(-10.84)  [H= 234, D= 46, S=246, I=291, N=526]
4ums_001ut03dB.rec:   47.34( -9.13)  [H= 249, D= 51, S=226, I=297, N=526]
